"identifiant";"Prenom";"Nom";"Region";"Departement";"Numero de circonscription";"Profession";"Groupe politique (complet)";"Groupe politique (abrege)"
"642868";"Paul";"Christophe";"Hauts-de-France";"Nord";"14";"Fonctionnaire de categorie A";"Horizons et apparentes";"HOR"
"719146";"Jean-Felix";"Acquaviva";"Corse";"Haute-Corse";"2";"Cadre";"Libertes, Independants, Outre-mer et Territoires";"LIOT"
"795692";"William";"Martinet";"Ile-de-France";"Yvelines";"11";"Cadre administratif";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"795050";"Astrid";"Panosyan-Bouvet";"Ile-de-France";"Paris";"4";"Cadre administratif et commercial d'entreprise";"Renaissance";"RE"
"719412";"Sandrine";"Le Feur";"Bretagne";"Finistere";"4";"Agriculteur-proprietaire exploitant";"Renaissance";"RE"
"720414";"Patrice";"Perrot";"Bourgogne-Franche-Comte";"Nievre";"2";"Industriel-Chef d'entreprise";"Renaissance";"RE"
"721960";"Daniele";"Obono";"Ile-de-France";"Paris";"17";"Bibliothecaire";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"794938";"Idir";"Boumertit";"Auvergne-Rhône-Alpes";"Rhône";"14";"Employe administratif d'entreprise";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"795950";"David";"Amiel";"Ile-de-France";"Paris";"13";"Sans profession declaree";"Renaissance";"RE"
"720764";"Florence";"Lasserre";"Nouvelle-Aquitaine";"Pyrenees-Atlantiques";"5";"Employee du secteur prive";"Democrate (MoDem et Independants)";"Dem"
"793608";"Katiana";"Levavasseur";"Normandie";"Eure";"2";"Ouvrier de type industriel";"Rassemblement National";"RN"
"793190";"Laurence";"Heydel Grillere";"Auvergne-Rhône-Alpes";"Ardeche";"2";"Ingenieur agronome";"Renaissance";"RE"
"795828";"Johnny";"Hajjar";"Martinique";"Martinique";"3";"Professeur du second degre";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"793548";"Caroline";"Colombier";"Nouvelle-Aquitaine";"Charente";"3";"Avocate / Ancien cadre ";"Rassemblement National";"RN"
"720976";"Max";"Mathiasin";"Guadeloupe";"Guadeloupe";"3";"Fonction publique territoriale";"Libertes, Independants, Outre-mer et Territoires";"LIOT"
"793872";"Nathalie";"Oziol";"Occitanie";"Herault";"2";"Professeur, profession scientifique";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"720822";"Bruno";"Bilde";"Hauts-de-France";"Pas-de-Calais";"12";"Juriste";"Rassemblement National";"RN"
"718926";"Pierre";"Dharreville";"Provence-Alpes-Côte d'Azur";"Bouches-du-Rhône";"13";"Employe (secteur prive)";"Gauche democrate et republicaine - NUPES";"GDR - NUPES"
"722102";"Annie";"Vidal";"Normandie";"Seine-Maritime";"2";"Retraitee de la fonction publique hospitaliere";"Renaissance";"RE"
"722292";"Thomas";"Rudigoz";"Auvergne-Rhône-Alpes";"Rhône";"1";"Sans profession declaree";"Renaissance";"RE"
"720362";"Belkhir";"Belhaddad";"Grand Est";"Moselle";"1";"Industriel-Chef d'entreprise";"Renaissance";"RE"
"793672";"Christine";"Loir";"Normandie";"Eure";"1";"Profession intermediaire de la sante et du travail social";"Rassemblement National";"RN"
"718884";"Valerie";"Bazin-Malgras";"Grand Est";"Aube";"2";"Commerçante";"Les Republicains";"LR"
"609590";"Valerie";"Rabault";"Occitanie";"Tarn-et-Garonne";"1";"Ingenieure";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"608416";"Patrick";"Hetzel";"Grand Est";"Bas-Rhin";"7";"Professeur des Universites";"Les Republicains";"LR"
"605694";"Olivier";"Falorni";"Nouvelle-Aquitaine";"Charente-Maritime";"1";"Professeur du secondaire";"Democrate (MoDem et Independants)";"Dem"
"794530";"Matthieu";"Marchio";"Hauts-de-France";"Nord";"16";"Cadre administratif et commercial d'entreprise";"Rassemblement National";"RN"
"794114";"Emmanuel";"Mandon";"Auvergne-Rhône-Alpes";"Loire";"3";"Conseiller d'insertion professionnelle";"Democrate (MoDem et Independants)";"Dem"
"643192";"Chantal";"Jourdan";"Normandie";"Orne";"1";"Psychologue";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"793500";"Benoît";"Bordat";"Bourgogne-Franche-Comte";"Côte-d'Or";"2";"Conseiller foncier agricole";"Renaissance";"RE"
"721678";"Robin";"Reda";"Ile-de-France";"Essonne";"7";"";"Renaissance";"RE"
"720370";"Ludovic";"Mendes";"Grand Est";"Moselle";"2";"Cadre superieur (secteur prive)";"Renaissance";"RE"
"791812";"Sophia";"Chikirou";"Ile-de-France";"Paris";"6";"Chef d'entreprise de 10 salaries ou plus";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"720430";"Ugo";"Bernalicis";"Hauts-de-France";"Nord";"2";"Fonctionnaire de categorie A";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"722054";"Nadia";"Hai";"Ile-de-France";"Yvelines";"7";"Conseil en gestion de patrimoine";"Renaissance";"RE"
"720022";"Michel";"Lauzzana";"Nouvelle-Aquitaine";"Lot-et-Garonne";"1";"Medecin";"Renaissance";"RE"
"793314";"Alexandra";"Masson";"Provence-Alpes-Côte d'Azur";"Alpes-Maritimes";"4";"Profession liberale";"Rassemblement National";"RN"
"795966";"Stephane";"Rambaud";"Provence-Alpes-Côte d'Azur";"Var";"3";"Retraite de la police nationale";"Rassemblement National";"RN"
"795508";"emilie";"Chandler";"Ile-de-France";"Val-d'Oise";"1";"Profession liberale";"Renaissance";"RE"
"793416";"Freddy";"Sertin";"Normandie";"Calvados";"6";"Directeur General d'un etablissement de sante";"Renaissance";"RE"
"794870";"Sylvie";"Ferrer";"Occitanie";"Hautes-Pyrenees";"1";"";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"793624";"Philippe";"Brun";"Normandie";"Eure";"4";"Magistrat administratif";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"608016";"Veronique";"Louwagie";"Normandie";"Orne";"2";"Expert-comptable";"Les Republicains";"LR"
"643134";"Isabelle";"Valentin";"Auvergne-Rhône-Alpes";"Haute-Loire";"1";"Salariee agricole";"Les Republicains";"LR"
"718710";"Pascale";"Boyer";"Provence-Alpes-Côte d'Azur";"Hautes-Alpes";"1";"Contremaître, agent de maîtrise";"Renaissance";"RE"
"722142";"François";"Ruffin";"Hauts-de-France";"Somme";"1";"Reporter";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"794458";"Martine";"Etienne";"Grand Est";"Meurthe-et-Moselle";"3";"Ancien employe";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"795318";"Louis";"Boyard";"Ile-de-France";"Val-de-Marne";"3";"Eleve, etudiant";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"608172";"Christine";"Pires Beaune";"Auvergne-Rhône-Alpes";"Puy-de-Dôme";"2";"Fonctionnaire de categorie A";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"793452";"Hendrik";"Davi";"Provence-Alpes-Côte d'Azur";"Bouches-du-Rhône";"5";"Professeur, profession scientifique";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"795636";"Benjamin";"Lucas";"Ile-de-France";"Yvelines";"8";"";"ecologiste - NUPES";"Ecolo - NUPES"
"719006";"Fabrice";"Le Vigoureux";"Normandie";"Calvados";"1";"Professeur des Universites";"Renaissance";"RE"
"721852";"Marie";"Lebec";"Ile-de-France";"Yvelines";"4";"Consultante en affaires publiques";"Renaissance";"RE"
"720230";"Lise";"Magnier";"Grand Est";"Marne";"4";"cadre territorial";"Horizons et apparentes";"HOR"
"793238";"Christophe";"Barthes";"Occitanie";"Aude";"1";"Agriculteur sur moyenne exploitation";"Rassemblement National";"RN"
"774954";"Anne-Laure";"Blin";"Pays de la Loire";"Maine-et-Loire";"3";"Juriste";"Les Republicains";"LR"
"793174";"Yannick";"Monnet";"Auvergne-Rhône-Alpes";"Allier";"1";"Cadre de la fonction publique";"Gauche democrate et republicaine - NUPES";"GDR - NUPES"
"267766";"Guy";"Bricout";"Hauts-de-France";"Nord";"18";"Retraite fonction publique (hors enseignement)";"Libertes, Independants, Outre-mer et Territoires";"LIOT"
"721296";"Guillaume";"Gouffier Valente";"Ile-de-France";"Val-de-Marne";"6";"Manager public";"Renaissance";"RE"
"794118";"Antoine";"Vermorel-Marques";"Auvergne-Rhône-Alpes";"Loire";"5";"Conseiller parlementaire";"Les Republicains";"LR"
"793508";"Hubert";"Brigand";"Bourgogne-Franche-Comte";"Côte-d'Or";"4";"Ancienne profession intermediaire";"Les Republicains";"LR"
"721880";"Marie";"Guevenoux";"Ile-de-France";"Essonne";"9";"Collaborateur politique";"Renaissance";"RE"
"720446";"Brigitte";"Liso";"Hauts-de-France";"Nord";"4";"Commerçant";"Renaissance";"RE"
"794066";"Frederic";"Mathieu";"Bretagne";"Ille-et-Vilaine";"1";"Cadre de la fonction publique";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"642847";"Thibault";"Bazin";"Grand Est";"Meurthe-et-Moselle";"4";"Autre cadre (secteur prive)";"Les Republicains";"LR"
"795192";"Steve";"Chailloux";"Polynesie française";"Polynesie Française";"2";"Professeur, profession scientifique";"Gauche democrate et republicaine - NUPES";"GDR - NUPES"
"793948";"Nicolas";"Thierry";"Nouvelle-Aquitaine";"Gironde";"2";"Consultant en developpement durable";"ecologiste - NUPES";"Ecolo - NUPES"
"712014";"Vincent";"Ledoux";"Hauts-de-France";"Nord";"10";"Professeur";"Renaissance";"RE"
"793330";"Bryan";"Masson";"Provence-Alpes-Côte d'Azur";"Alpes-Maritimes";"6";"Profession intermediaire administrative de la fonction publique";"Rassemblement National";"RN"
"609332";"Olivier";"Faure";"Ile-de-France";"Seine-et-Marne";"11";"Cadre superieur (secteur prive)";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"720138";"Laetitia";"Saint-Paul";"Pays de la Loire";"Maine-et-Loire";"4";"Officier de l'armee de Terre";"Renaissance";"RE"
"795046";"Caroline";"Yadan";"Ile-de-France";"Paris";"3";"avocat";"Renaissance";"RE"
"721004";"Amelia";"Lakrafi";"Français etablis hors de France";"Français etablis hors de France";"10";"Chef d'entreprise";"Renaissance";"RE"
"719512";"Corinne";"Vignon";"Occitanie";"Haute-Garonne";"3";"Cadre superieur (secteur prive)";"Renaissance";"RE"
"330240";"eric";"Ciotti";"Provence-Alpes-Côte d'Azur";"Alpes-Maritimes";"1";"";"Les Republicains";"LR"
"794702";"Delphine";"Lingemann";"Auvergne-Rhône-Alpes";"Puy-de-Dôme";"4";"Chef d'entreprise - Enseignante associee universite";"Democrate (MoDem et Independants)";"Dem"
"342384";"elisa";"Martin";"Auvergne-Rhône-Alpes";"Isere";"3";"Professeur, profession scientifique";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"721816";"Ian";"Boucard";"Bourgogne-Franche-Comte";"Territoire de Belfort";"1";"Autre cadre (secteur prive)";"Les Republicains";"LR"
"721410";"emilie";"Bonnivard";"Auvergne-Rhône-Alpes";"Savoie";"3";"Cadre à la Caisse des Depôts et Consignations";"Les Republicains";"LR"
"793254";"Julien";"Rancoule";"Occitanie";"Aude";"3";"Profession liberale";"Rassemblement National";"RN"
"793816";"Melanie";"Thomin";"Bretagne";"Finistere";"6";"Professeur, profession scientifique";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"796034";"Frank";"Giletti";"Provence-Alpes-Côte d'Azur";"Var";"6";"Fonctionnaire";"Rassemblement National";"RN"
"721170";"Stephane";"Vojetta";"Français etablis hors de France";"Français etablis hors de France";"5";"Entrepreneur";"Renaissance";"RE"
"794130";"Andy";"Kerbrat";"Pays de la Loire";"Loire-Atlantique";"2";"Charge d'assitance automobile";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"794954";"Emeric";"Salmon";"Bourgogne-Franche-Comte";"Haute-Saône";"2";"Cadre administratif et commercial d'entreprise";"Rassemblement National";"RN"
"342196";"Claudia";"Rouaux";"Bretagne";"Ille-et-Vilaine";"3";"Gestionnaire à l'INRAE";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"794194";"Mathilde";"Desjonqueres";"Centre-Val de Loire";"Loir-et-Cher";"1";"Directrice Culture, Patrimoine et Sport";"Democrate (MoDem et Independants)";"Dem"
"795844";"Karen";"Erodi";"Occitanie";"Tarn";"2";"Profession liberale";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"774958";"Gerard";"Leseul";"Normandie";"Seine-Maritime";"5";"Cadre d'entreprise / enseignant universitaire";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"1008";"Alain";"David";"Nouvelle-Aquitaine";"Gironde";"4";"Ingenieur";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"794004";"Servane";"Hugues";"Auvergne-Rhône-Alpes";"Isere";"1";"Professeur des ecoles";"Renaissance";"RE"
"793884";"Sebastien";"Rome";"Occitanie";"Herault";"4";"Professeur des ecoles, instituteur et assimile";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"796110";"Joris";"Hebrard";"Provence-Alpes-Côte d'Azur";"Vaucluse";"1";"Profession liberale";"Rassemblement National";"RN"
"719930";"Boris";"Vallaud";"Nouvelle-Aquitaine";"Landes";"3";"Fonctionnaire de categorie A";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"795010";"Marie-Charlotte";"Garin";"Auvergne-Rhône-Alpes";"Rhône";"3";"Collaboratrice politique en collectivite locale";"ecologiste - NUPES";"Ecolo - NUPES"
"719528";"Jean-François";"Portarrieu";"Occitanie";"Haute-Garonne";"5";"Journaliste";"Horizons et apparentes";"HOR"
"793122";"Romain";"Daubie";"Auvergne-Rhône-Alpes";"Ain";"2";"Avocat";"Democrate (MoDem et Independants)";"Dem"
"721522";"Xavier";"Batut";"Normandie";"Seine-Maritime";"10";"Autre cadre (secteur prive)";"Renaissance";"RE"
"793688";"Pascale";"Martin";"Nouvelle-Aquitaine";"Dordogne";"1";"Ancien cadre";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"795908";"Yannick";"Chenevard";"Provence-Alpes-Côte d'Azur";"Var";"1";"Profession liberale";"Renaissance";"RE"
"795270";"Marie-Agnes";"Poussier-Winsback";"Normandie";"Seine-Maritime";"9";"Enseignante";"Horizons et apparentes";"HOR"
"794022";"Jeremie";"Iordanoff";"Auvergne-Rhône-Alpes";"Isere";"5";"Artiste-peintre";"ecologiste - NUPES";"Ecolo - NUPES"
"722336";"Vincent";"Thiebaut";"Grand Est";"Bas-Rhin";"9";"Autre cadre (secteur prive)";"Horizons et apparentes";"HOR"
"719100";"Jean-Philippe";"Ardouin";"Nouvelle-Aquitaine";"Charente-Maritime";"3";"Chef d'entreprise";"Renaissance";"RE"
"721426";"Veronique";"Riotton";"Auvergne-Rhône-Alpes";"Haute-Savoie";"1";"Consultante-Coach en Ressources Humaines";"Renaissance";"RE"
"720386";"Fabien";"Di Filippo";"Grand Est";"Moselle";"4";"Ancien cadre du secteur prive";"Les Republicains";"LR"
"610002";"Eva";"Sas";"Ile-de-France";"Paris";"8";"Cadre superieur du secteur prive";"ecologiste - NUPES";"Ecolo - NUPES"
"719558";"Erwan";"Balanant";"Bretagne";"Finistere";"8";"Photographe et realisateur";"Democrate (MoDem et Independants)";"Dem"
"796050";"Philippe";"Schreck";"Provence-Alpes-Côte d'Azur";"Var";"8";"Profession liberale ";"Rassemblement National";"RN"
"722390";"Josiane";"Corneloup";"Bourgogne-Franche-Comte";"Saône-et-Loire";"2";"Pharmacien";"Les Republicains";"LR"
"795982";"Aurelien";"Saintoul";"Ile-de-France";"Hauts-de-Seine";"11";"Cadre de la fonction publique";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"794886";"Sophie";"Blanc";"Occitanie";"Pyrenees-Orientales";"1";"Profession liberale";"Rassemblement National";"RN"
"719372";"Guillaume";"Kasbarian";"Centre-Val de Loire";"Eure-et-Loir";"1";"Cadre superieur (secteur prive)";"Renaissance";"RE"
"795934";"Claire";"Guichard";"Ile-de-France";"Hauts-de-Seine";"10";"Sans profession declaree";"Renaissance";"RE"
"721750";"Celine";"Calvez";"Ile-de-France";"Hauts-de-Seine";"5";"Consultante communication";"Renaissance";"RE"
"721932";"Marie-France";"Lorho";"Provence-Alpes-Côte d'Azur";"Vaucluse";"4";"Deleguee medicale";"Rassemblement National";"RN"
"720668";"Emmanuel";"Blairy";"Hauts-de-France";"Pas-de-Calais";"1";"Fonctionnaire territorial";"Rassemblement National";"RN"
"346054";"Emmanuel";"Maquet";"Hauts-de-France";"Somme";"3";"Agent general d'assurances";"Les Republicains";"LR"
"794470";"Felicie";"Gerard";"Hauts-de-France";"Nord";"7";"Contremaître, agent de maîtrise";"Horizons et apparentes";"HOR"
"719608";"Emmanuelle";"Menard";"Occitanie";"Herault";"6";"Journaliste et autre media";"Non inscrit";"NI"
"793464";"Sebastien";"Delogu";"Provence-Alpes-Côte d'Azur";"Bouches-du-Rhône";"7";"Sans profession";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"642988";"Herve";"de Lepinau";"Provence-Alpes-Côte d'Azur";"Vaucluse";"3";"Avocat";"Rassemblement National";"RN"
"795652";"Alexis";"Izard";"Ile-de-France";"Essonne";"3";"Cadre administratif et commercial d'entreprise";"Renaissance";"RE"
"721442";"Christelle";"Petex-Levet";"Auvergne-Rhône-Alpes";"Haute-Savoie";"3";"Cadre administratif et commercial d'entreprise";"Les Republicains";"LR"
"793772";"Christophe";"Bex";"Occitanie";"Haute-Garonne";"7";"Cadre de la fonction publique";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"607193";"Sophie";"Errante";"Pays de la Loire";"Loire-Atlantique";"10";"Industriel-Chef d'entreprise";"Renaissance";"RE"
"719266";"Jean-Pierre";"Cubertafon";"Nouvelle-Aquitaine";"Dordogne";"3";"Retraite des professions liberales";"Democrate (MoDem et Independants)";"Dem"
"795920";"Prisca";"Thevenot";"Ile-de-France";"Hauts-de-Seine";"8";"collaboratrice parlementaire";"Renaissance";"RE"
"794830";"Hubert";"Ott";"Grand Est";"Haut-Rhin";"2";"Professeur, profession scientifique";"Democrate (MoDem et Independants)";"Dem"
"793572";"Christophe";"Plassard";"Nouvelle-Aquitaine";"Charente-Maritime";"5";"Profession liberale";"Horizons et apparentes";"HOR"
"720692";"Fabien";"Roussel";"Hauts-de-France";"Nord";"20";"Attache parlementaire";"Gauche democrate et republicaine - NUPES";"GDR - NUPES"
"793520";"Mickael";"Cosson";"Bretagne";"Côtes-d'Armor";"1";"Charge d'operations urbanisme";"Democrate (MoDem et Independants)";"Dem"
"643143";"Christian";"Baptiste";"Guadeloupe";"Guadeloupe";"2";"Directeur d'association";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"794418";"Florence";"Goulet";"Grand Est";"Meuse";"2";"Cadre de la fonction publique";"Rassemblement National";"RN"
"795084";"Rodrigo";"Arenas";"Ile-de-France";"Paris";"10";"Cadre de la fonction publique";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"719436";"Nicolas";"Meizonnet";"Occitanie";"Gard";"2";"Ingenieur en informatique ";"Rassemblement National";"RN"
"334116";"Jacqueline";"Maquet";"Hauts-de-France";"Pas-de-Calais";"2";"Directrice de mission";"Renaissance";"RE"
"719024";"Christophe";"Blanchet";"Normandie";"Calvados";"4";"Commerçant";"Democrate (MoDem et Independants)";"Dem"
"608695";"Cecile";"Untermaier";"Bourgogne-Franche-Comte";"Saône-et-Loire";"4";"Fonctionnaire des grands corps de l'etat";"Socialistes et apparentes (membre de l’intergroupe NUPES)";"SOC"
"720286";"Caroline";"Fiat";"Grand Est";"Meurthe-et-Moselle";"6";"Salariee du secteur medical";"La France insoumise - Nouvelle Union Populaire ecologique et sociale";"LFI - NUPES"
"793342";"Alexandra";"Martin";"Provence-Alpes-Côte d'Azur";"Alpes-Maritimes";"8";"Employe civil et agent de service de la fonction publique";"Les Republicains";"LR"
"795990";"Maud";"Bregeon";"Ile-de-France";"Hauts-de-Seine";"13";"Ingenieur et cadre technique d'entreprise";"Renaissance";"RE"
"267324";"Jean-Jacques";"Gaultier";"Grand Est";"Vosges";"4";"Medecin biologiste";"Les Republicains";"LR"
"720154";"Nicole";"Dubre-Chirat";"Pays de la Loire";"Maine-et-Loire";"6";"Retraitee de la fonction publique hospitaliere et chargee de formation";"Renaissance";"RE"
"721632";"Patricia";"Lemoine";"Ile-de-France";"Seine-et-Marne";"5";"Directrice de cabinet";"Renaissance";"RE"
"721336";"Blandine";"Brocard";"Auvergne-Rhône-Alpes";"Rhône";"5";"Employee (secteur prive)";"Democrate (MoDem et Independants)";"Dem"
"719382";"Luc";"Lamirault";"Centre-Val de Loire";"Eure-et-Loir";"3";"chef d'entreprise";"Horizons et apparentes";"HOR"
"721828";"Fanta";"Berete";"Ile-de-France";"Paris";"12";"Directrice projets";"Renaissance";"RE"
"795864";"Pierre";"Cazeneuve";"Ile-de-France";"Hauts-de-Seine";"7";"Cadre de la fonction publique";"Renaissance";"RE"
